statistic_yyy,site_id,village ,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
105,臺中市豐原區,朴子里,3474,3,1,3,1,43,34,19,22,234,282,97,113,85,84,16,15,58,39,3,4,59,63,34,22,437,329,127,71,1,7,273,234,39,23,14,0,2,0,231,273,9,21,0,3,7,39
105,臺中市東勢區,北興里,1362,0,1,1,1,26,14,3,5,105,126,39,28,51,36,8,3,36,31,6,4,40,27,12,13,180,132,38,25,1,6,88,74,6,4,5,2,1,0,51,110,6,5,0,2,1,9
105,臺中市東勢區,中寧里,874,0,0,0,0,14,9,5,5,61,74,26,15,26,27,3,4,22,11,1,0,19,25,9,8,112,93,20,15,2,3,40,67,2,3,3,1,0,0,50,82,2,2,0,2,2,9
105,臺中市東勢區,東安里,1102,1,0,2,0,26,15,7,4,118,81,37,31,31,29,4,1,37,34,2,2,30,27,7,11,134,110,26,22,0,4,34,62,6,3,7,4,2,0,42,98,3,3,0,0,0,5
105,臺中市東勢區,南平里,1959,6,0,3,1,38,21,17,9,157,160,62,57,79,62,10,6,44,43,8,5,55,46,17,20,236,189,35,32,4,6,112,121,13,7,7,3,0,0,76,154,5,7,1,0,2,23
105,臺中市東勢區,延平里,2364,3,4,0,1,54,29,14,10,192,192,78,72,72,54,8,8,71,58,4,2,59,53,18,10,274,261,63,56,3,5,108,131,14,15,6,5,2,2,111,211,4,6,0,1,1,19
105,臺中市東勢區,上新里,1037,0,2,0,0,23,16,2,5,94,87,30,37,33,20,2,7,16,22,2,0,19,25,9,10,126,93,35,23,1,3,59,62,5,4,4,4,1,0,43,92,6,5,0,0,0,10
105,臺中市東勢區,廣興里,1501,2,2,1,1,49,35,11,6,143,114,41,31,54,39,9,5,50,42,1,1,29,28,12,16,172,158,48,21,5,8,66,71,4,2,5,3,2,0,61,121,9,5,0,3,3,12
105,臺中市東勢區,泰昌里,3655,3,1,1,2,96,55,18,17,313,310,105,110,105,91,17,21,90,89,9,3,96,74,32,17,454,346,102,72,3,13,162,224,14,17,9,9,1,0,174,299,21,24,0,1,3,32
105,臺中市東勢區,中嵙里,1985,1,0,3,1,20,14,9,5,113,114,49,47,58,30,16,11,44,36,3,2,41,36,18,16,292,210,59,39,2,7,119,122,7,10,10,4,3,0,142,211,10,11,0,2,5,33
105,臺中市東勢區,福隆里,3782,3,3,5,2,71,40,21,23,249,278,119,114,106,100,41,12,47,66,5,5,61,69,36,28,535,439,129,66,2,14,243,234,16,11,14,3,0,0,186,308,8,24,1,6,5,34
105,臺中市東勢區,隆興里,1530,1,0,0,0,7,7,3,5,93,86,24,41,34,30,14,10,25,17,2,0,26,29,9,7,223,156,41,31,5,5,151,109,7,6,10,1,3,0,110,137,5,10,2,4,10,34
105,臺中市東勢區,新盛里,5191,4,2,1,1,75,51,37,25,363,417,158,136,146,134,40,18,83,63,6,9,128,99,40,31,726,546,157,110,3,22,342,340,27,23,14,8,1,1,264,430,13,19,2,11,8,57
105,臺中市東勢區,詒福里,1717,0,0,1,2,20,5,8,3,99,110,36,39,27,24,4,4,34,30,1,2,34,31,7,11,247,163,64,34,3,11,147,122,6,8,8,3,2,1,124,187,5,12,0,0,3,35
105,臺中市東勢區,上城里,1041,0,0,0,0,15,4,7,5,72,77,29,22,21,24,3,7,30,18,1,1,19,16,5,9,154,87,36,18,1,4,62,64,7,3,6,4,1,0,71,123,0,9,0,2,0,4
105,臺中市東勢區,下城里,914,1,0,1,1,7,3,4,3,51,57,21,19,19,14,4,3,21,13,3,2,20,19,7,4,138,85,31,18,0,1,77,64,3,5,5,3,0,0,56,117,3,2,0,2,1,6
105,臺中市東勢區,慶東里,1940,2,0,2,0,16,9,10,4,119,88,50,52,50,39,8,2,32,19,3,1,52,39,20,9,252,168,62,47,2,5,168,133,9,12,9,2,2,0,165,220,3,16,0,1,5,33
105,臺中市東勢區,慶福里,1386,2,0,1,0,17,8,2,4,71,81,35,34,27,19,6,5,23,17,4,2,37,33,15,7,181,118,46,25,0,5,140,83,3,8,9,3,0,0,117,159,5,11,1,0,4,18
105,臺中市東勢區,東新里,1991,2,1,2,0,49,26,10,10,154,143,54,44,63,54,16,11,43,49,4,5,51,42,15,24,288,186,60,39,4,2,112,129,10,7,8,3,0,3,92,147,1,9,0,1,2,16
105,臺中市東勢區,粵寧里,2130,3,0,2,1,35,30,12,6,146,155,48,51,56,66,15,12,42,40,0,2,56,52,11,19,288,215,81,41,2,5,138,135,5,12,10,5,0,0,108,178,4,16,0,1,1,25
105,臺中市東勢區,下新里,1740,1,0,1,0,24,11,9,12,118,131,44,54,50,30,7,8,29,28,5,0,27,32,9,8,253,160,59,19,2,4,131,110,3,5,16,2,0,0,106,187,3,16,1,1,2,22
105,臺中市東勢區,興隆里,1264,0,1,0,0,10,7,6,8,83,76,30,30,23,24,13,4,22,14,1,2,18,18,13,8,211,116,46,24,1,5,113,76,4,9,6,3,2,0,87,112,2,9,1,1,4,21
105,臺中市東勢區,茂興里,1864,0,1,0,1,25,14,6,4,82,108,43,42,30,30,9,6,42,24,6,4,59,44,8,16,254,172,75,38,1,3,188,125,10,5,13,1,3,2,127,178,5,19,0,4,5,32
105,臺中市東勢區,泰興里,745,0,0,1,0,13,8,4,1,37,40,18,12,12,9,4,4,10,14,2,1,15,12,5,5,100,67,23,10,1,3,78,44,1,3,0,2,0,1,79,83,0,3,0,0,2,18
105,臺中市東勢區,埤頭里,698,0,1,1,0,5,4,1,1,42,35,22,23,16,5,2,3,9,12,0,1,9,10,3,5,88,70,19,10,0,2,80,36,4,4,2,1,0,0,68,83,2,4,1,0,1,13
105,臺中市東勢區,明正里,1429,1,0,1,1,12,3,4,3,53,65,29,29,26,23,5,2,9,14,1,1,36,38,23,12,154,124,58,29,1,6,217,94,12,9,3,0,1,0,110,159,5,11,1,4,8,32
105,臺中市大甲區,朝陽里,1421,1,1,3,0,37,31,10,12,138,158,67,39,54,48,5,6,30,41,0,1,45,37,21,18,142,133,34,26,5,7,40,64,3,7,1,1,2,1,39,94,1,8,2,1,0,7
105,臺中市大甲區,大甲里,1095,1,0,3,1,33,10,7,12,119,111,42,32,31,31,9,4,24,31,1,2,53,49,18,22,86,94,21,17,3,3,38,42,4,3,4,2,2,0,39,79,1,2,1,3,1,4
105,臺中市大甲區,順天里,1632,3,2,1,1,39,24,12,11,154,147,53,49,40,36,12,7,49,34,2,2,61,48,26,17,161,133,41,23,1,3,69,88,10,9,4,4,1,1,78,145,2,6,1,7,2,13
105,臺中市大甲區,孔門里,838,3,0,0,1,11,16,6,8,72,68,30,26,32,29,6,3,22,12,1,1,38,24,18,13,75,79,23,15,0,1,51,40,10,4,1,0,0,1,35,56,0,3,0,2,0,2
105,臺中市大甲區,平安里,2232,2,0,2,0,59,41,15,13,186,209,97,68,81,58,11,8,35,39,0,1,80,71,23,27,209,209,63,41,3,10,107,133,10,9,4,3,2,2,87,176,4,10,0,3,3,18
105,臺中市大甲區,庄美里,2212,3,3,1,1,58,30,16,10,187,236,89,60,61,45,7,4,50,31,2,2,47,61,35,36,229,175,66,23,0,3,112,135,10,7,0,2,1,1,124,193,5,8,0,3,4,36
105,臺中市大甲區,新美里,3561,4,1,3,2,97,53,27,9,279,338,127,118,95,83,21,11,58,43,6,2,105,75,48,55,339,319,87,57,9,11,224,217,14,28,5,2,1,0,181,328,10,20,0,5,4,40
105,臺中市大甲區,岷山里,2160,4,1,1,3,56,30,8,9,180,194,75,66,58,46,21,13,41,36,0,4,58,58,38,20,222,201,50,36,2,5,147,137,12,10,3,2,0,1,102,168,4,14,1,2,4,17
105,臺中市大甲區,中山里,4507,8,1,2,3,90,58,34,31,323,406,185,157,125,117,36,26,73,63,10,6,113,118,67,79,488,460,141,96,2,11,257,283,19,21,1,5,4,1,159,331,10,27,1,10,9,40
105,臺中市大甲區,南陽里,840,4,0,2,2,25,10,6,2,72,66,15,21,31,26,5,3,14,15,3,0,24,30,12,12,87,65,25,17,1,1,57,49,6,5,0,0,0,0,39,62,1,3,0,2,1,19
105,臺中市大甲區,薰風里,920,1,2,1,0,24,19,5,4,72,80,30,22,27,12,6,5,18,19,0,0,35,28,13,13,100,77,29,23,1,3,39,46,7,5,2,1,0,0,48,84,2,3,1,2,1,10
105,臺中市大甲區,義和里,3268,4,0,3,2,60,47,27,14,270,294,116,93,70,80,15,12,38,52,3,1,89,79,39,31,362,271,98,58,3,9,220,193,19,11,7,4,0,0,193,275,6,26,2,6,7,59
105,臺中市大甲區,武陵里,1204,1,0,0,1,24,9,5,5,74,74,39,28,33,26,9,8,15,18,1,0,25,22,12,16,146,99,23,24,1,3,102,90,5,7,1,2,1,1,93,99,7,7,3,3,6,36
105,臺中市大甲區,文曲里,1170,0,0,0,0,12,9,3,8,58,67,25,37,27,23,4,7,14,17,0,3,31,24,10,16,124,91,32,30,0,1,127,78,8,2,1,0,0,0,98,90,11,13,3,0,17,49
105,臺中市大甲區,武曲里,1850,1,0,1,0,32,17,9,6,150,179,70,51,58,45,10,12,25,29,1,2,42,46,28,28,181,143,47,25,1,6,126,114,15,11,3,2,0,0,116,162,8,12,1,2,5,28
105,臺中市大甲區,文武里,5555,12,1,4,5,163,117,55,36,518,533,209,198,178,187,29,22,94,100,8,4,172,163,84,82,493,466,119,94,11,15,249,303,30,35,9,10,6,0,221,410,6,26,3,11,5,59
105,臺中市大甲區,奉化里,2103,3,1,3,1,45,40,25,15,169,184,89,89,53,67,8,6,38,32,4,4,46,46,46,32,197,176,63,42,3,5,119,139,12,8,7,2,2,0,92,140,0,11,1,8,3,27
105,臺中市大甲區,德化里,1843,1,0,1,0,21,18,6,8,133,144,50,71,50,38,9,2,20,18,0,1,45,33,37,29,209,166,67,36,0,5,151,124,8,12,1,1,0,0,114,140,12,15,3,10,4,30
105,臺中市大甲區,江南里,1406,0,0,2,0,17,18,13,4,106,108,61,51,33,20,8,2,11,13,0,0,45,29,18,16,168,132,48,20,0,3,99,115,5,8,1,0,0,1,81,98,3,10,2,1,10,26
105,臺中市大甲區,頂店里,4575,9,1,4,6,100,68,32,25,397,465,142,159,120,119,23,23,78,67,1,5,125,130,69,51,454,388,116,98,2,6,292,266,33,21,6,3,3,0,236,311,10,28,3,12,12,56
105,臺中市大甲區,太白里,1332,0,0,1,0,15,10,8,6,94,94,32,41,23,30,8,7,19,16,0,0,23,32,18,15,158,107,46,28,0,3,123,81,7,7,4,0,2,0,89,84,10,16,1,0,13,61
105,臺中市大甲區,孟春里,4150,2,0,1,4,67,37,28,17,298,368,134,100,84,106,24,28,53,50,6,4,113,106,61,58,451,356,130,106,3,14,327,324,22,24,4,3,3,1,188,282,13,26,6,10,24,84
105,臺中市大甲區,幸福里,2690,1,1,1,2,41,26,12,9,168,194,66,78,45,40,11,8,42,28,4,2,62,64,28,29,292,186,95,63,3,11,276,193,14,11,3,0,0,0,185,215,19,36,8,10,26,82
105,臺中市大甲區,日南里,5578,0,2,3,1,90,34,37,29,440,469,193,191,138,115,47,32,80,78,6,2,137,131,69,67,616,561,199,101,3,22,427,414,26,41,6,4,0,0,249,382,10,39,7,18,10,52
105,臺中市大甲區,龍泉里,1589,0,0,0,0,20,12,10,2,100,116,39,49,36,33,7,5,19,14,2,0,38,31,14,16,177,115,58,23,1,5,160,109,6,3,4,0,4,0,114,139,11,17,5,5,15,55
105,臺中市大甲區,西岐里,1742,3,1,1,0,23,20,9,4,120,132,53,60,30,37,8,8,22,31,3,0,45,45,30,11,178,134,66,29,2,4,157,137,5,10,2,1,0,0,103,134,10,22,1,2,3,46
105,臺中市大甲區,銅安里,1410,2,3,1,0,19,6,9,5,93,93,34,30,26,29,5,2,25,20,1,3,32,36,12,13,159,94,42,28,1,5,150,94,10,7,0,0,1,0,133,117,7,29,0,5,4,25
105,臺中市大甲區,福德里,1172,2,0,0,0,9,2,4,5,52,99,27,35,14,28,6,4,10,7,1,1,31,24,13,19,119,101,41,25,1,6,140,92,7,7,0,1,1,0,76,87,8,8,6,11,7,35
105,臺中市大甲區,建興里,1561,0,1,0,0,11,7,4,4,68,96,60,49,25,25,7,3,11,13,1,1,41,43,24,18,154,116,47,44,4,7,195,119,7,10,1,0,0,0,117,121,10,15,1,6,21,54
105,臺中市清水區,鰲峰里,1126,2,0,3,0,31,17,5,13,104,77,27,29,24,32,8,2,20,18,3,0,28,22,15,12,154,102,19,15,3,6,38,51,3,7,1,0,0,0,71,132,5,11,1,3,2,10
105,臺中市清水區,靈泉里,1044,4,2,2,0,41,27,5,2,129,130,46,32,24,18,3,3,23,28,1,0,35,28,15,12,81,106,18,15,2,0,37,38,3,3,3,0,0,0,32,78,3,7,0,1,1,6
105,臺中市清水區,清水里,2161,3,1,4,4,70,51,20,23,210,221,87,64,57,87,7,8,56,33,1,0,51,52,31,35,238,171,56,40,3,4,80,106,4,5,4,3,0,0,71,156,8,12,2,2,1,19
105,臺中市清水區,文昌里,712,1,0,0,1,16,14,10,3,64,74,29,17,23,14,5,3,18,18,1,0,21,27,7,6,63,59,16,24,1,2,30,43,6,6,1,3,1,1,31,44,0,2,0,1,0,6
105,臺中市清水區,南寧里,1824,7,6,2,0,48,32,13,15,211,187,64,56,56,68,9,9,46,32,4,1,52,36,27,18,190,152,35,22,2,2,67,82,5,10,1,1,1,0,78,137,5,10,1,2,1,21
105,臺中市清水區,西寧里,1634,3,1,1,0,36,23,9,9,138,143,51,47,48,44,7,2,37,25,3,2,59,36,25,22,200,141,34,27,2,8,74,83,11,11,1,2,0,0,81,148,1,17,0,2,1,19
105,臺中市清水區,北寧里,718,0,2,0,0,13,6,1,1,55,46,18,15,20,22,7,1,15,5,1,1,20,11,7,5,89,60,20,19,0,3,47,41,5,6,0,0,0,0,54,72,1,6,0,1,3,19
105,臺中市清水區,中興里,430,0,0,0,0,6,10,1,4,45,31,16,10,6,16,1,0,7,12,1,1,27,11,7,7,42,32,12,3,0,0,23,25,1,1,0,1,0,0,24,35,2,3,0,2,0,5
105,臺中市清水區,西社里,2313,4,4,1,0,65,50,24,17,229,230,98,53,61,74,13,5,43,44,0,6,62,47,32,16,234,204,39,31,1,7,96,96,22,10,2,1,1,0,131,190,11,16,1,5,0,37
105,臺中市清水區,南社里,9542,9,4,11,5,252,150,74,50,852,905,413,343,343,350,55,45,188,206,10,14,198,179,127,146,957,917,279,201,10,48,486,445,73,65,6,3,2,3,355,546,30,62,8,13,7,97
105,臺中市清水區,裕嘉里,1579,3,0,0,0,35,14,12,8,119,141,41,59,41,38,7,10,17,24,2,3,22,16,13,18,177,131,54,30,0,1,125,84,12,15,2,1,0,0,107,133,9,18,0,2,6,29
