代碼,學校名稱,公/私立,縣市名稱,地址,location
064729,市立和平區和平國小,公立,[06]臺中市,[424]臺中市和平區南勢里東關路三段54號,24.1680131 120.9031163
064731,市立白冷國小,公立,[06]臺中市,[424]臺中市和平區天輪里天輪巷42號,24.1820596 120.9264997
064732,市立博屋瑪國小,公立,[06]臺中市,[424]臺中市和平區達觀里育英巷6號,24.3277704 120.9207669
064733,市立中坑國小,公立,[06]臺中市,[424]臺中市和平區中坑里中坑巷41號,24.2451884 120.8865846
064734,市立平等國小,公立,[06]臺中市,[424]臺中市和平區中興路三段環山3巷35號,24.3175235 121.2934125
064735,市立博愛國小,公立,[06]臺中市,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,24.172 120.9728688
064736,市立自由國小,公立,[06]臺中市,[424]臺中市和平區自由里東崎路二段49號,24.2912415 120.9079149
064737,市立梨山國(中)小,公立,[06]臺中市,[424]臺中市和平區梨山里福壽路10號,24.255649 121.259419
064533,市立和平國中,公立,[06]臺中市,[424]臺中市和平區東關路三段崑崙巷62號,24.180308 120.882287
064552,市立梨山國中(小),公立,[06]臺中市,[424]臺中市和平區梨山里福壽路10號,24.255649 121.259419
