代碼,學校名稱,公/私立,縣市名稱,地址,location
061601,私立華盛頓國小,私立,[06]臺中市,[427]臺中市潭子區潭興路一段165巷300號,24.1971371 120.7181038
064626,市立潭子國小,公立,[06]臺中市,[427]臺中市潭子區中山路二段435號,24.2144894 120.7050141
064627,市立僑忠國小,公立,[06]臺中市,[427]臺中市潭子區中山路二段31號,24.2025286 120.7033601
064628,市立東寶國小,公立,[06]臺中市,[427]臺中市潭子區雅潭路三段2號,24.2151761 120.6796626
064629,市立潭子區新興國小,公立,[06]臺中市,[427]臺中市潭子區潭興路一段25號,24.2039721 120.7255343
064741,市立潭陽國小,公立,[06]臺中市,[427]臺中市潭子區潭陽路19號,24.2130417 120.7101284
064760,市立頭家國小,公立,[06]臺中市,[427]臺中市潭子區得福街185號,24.1970264 120.6962245
064504,市立潭子國中,公立,[06]臺中市,[427]臺中市潭子區潭興路二段419巷1號,24.2101962 120.708342
064538,市立潭秀國中,公立,[06]臺中市,[427]臺中市潭子區雅潭路一段175號,24.2161716 120.6995219
061301,財團法人常春藤高中附設國中,公立,[06]臺中市,[427]臺中市潭子區潭興路一段165巷320號,24.1971371 120.7181038
061317,私立弘文高中附設國中,公立,[06]臺中市,[427]臺中市潭子區中山路三段221巷96號,24.2259648 120.7053818
061301,財團法人常春藤高中,私立,[06]臺中市,[427]臺中市潭子區潭興路一段165巷320號,24.1971371 120.7181038
061317,私立弘文高中,私立,[06]臺中市,[427]臺中市潭子區中山路三段221巷96號,24.2259648 120.7053818
