代碼,學校名稱,公/私立,縣市名稱,地址,location
064620,市立大雅國小,公立,[06]臺中市,[428]臺中市大雅區二和里學府路230號,24.2221578 120.6499832
064621,市立三和國小,公立,[06]臺中市,[428]臺中市大雅區三和里春亭2街1號,24.2193083 120.6675894
064622,市立大明國小,公立,[06]臺中市,[428]臺中市大雅區中清路四段158號,24.2285538 120.6432416
064623,市立上楓國小,公立,[06]臺中市,[428]臺中市大雅區上楓里楓林街232號,24.2360915 120.666745
064624,市立汝鎏國小,公立,[06]臺中市,[428]臺中市大雅區秀山里平和路238號,24.230987 120.6259942
064625,市立陽明國小,公立,[06]臺中市,[428]臺中市大雅區秀山里秀山路365號,24.2212988 120.631663
064746,市立文雅國小,公立,[06]臺中市,[428]臺中市大雅區文雅里中山北路235號,24.2202214 120.6461074
064765,市立六寶國小,公立,[06]臺中市,[428]臺中市大雅區光復路15之2號,24.2391623 120.6367392
064505,市立大雅國中,公立,[06]臺中市,[428]臺中市大雅區學府路280號,24.2241825 120.6495485
064541,市立大華國中,公立,[06]臺中市,[428]臺中市大雅區雅環路一段2號,24.2165644 120.6516803
060323,國立中科實驗高級中學附設國中,公立,[06]臺中市,[428]臺中市大雅區平和路227號,24.2303237 120.6260536
060323,國立中科實驗高級中學,公立,[06]臺中市,[428]臺中市大雅區平和路227號,24.2303237 120.6260536
061F01,私立惠明學校,私立,[06]臺中市,[428]臺中市大雅區雅潭路280號,24.2196117 120.6620871
