代碼,學校名稱,公/私立,縣市名稱,地址,location
193608,市立忠孝國小,公立,[19]臺中市,[403]臺中市西區三民路一段171號,24.1374117 120.6741257
193609,市立忠信國小,公立,[19]臺中市,[403]臺中市西區林森路155號,24.1391036 120.668765
193610,市立大同國小,公立,[19]臺中市,[403]臺中市西區自由路一段138號,24.1357762 120.6779283
193611,市立忠明國小,公立,[19]臺中市,[403]臺中市西區臺灣大道二段556號,24.1594602 120.6601425
193612,市立西區中正國小,公立,[19]臺中市,[403]臺中市西區英才路423號,24.1520351 120.6658984
193644,市立大勇國小,公立,[19]臺中市,[403]臺中市西區忠明南路515號,24.1344766 120.6575355
193501,市立居仁國中,公立,[19]臺中市,[403]臺中市西區自由路一段97號,24.1370428 120.678817
193509,市立光明國中,公立,[19]臺中市,[403]臺中市西區自由路一段75號,24.1322703 120.6732226
193510,市立向上國中,公立,[19]臺中市,[403]臺中市西區美村路一段389號,24.143377 120.661945
193303,市立忠明高中附設國中,公立,[19]臺中市,[403]臺中市西區博館路166號,24.1578766 120.663686
190301,國立臺中女中,公立,[19]臺中市,[403]臺中市西區自由路一段95號,24.1360434 120.6777654
193303,市立忠明高中,公立,[19]臺中市,[403]臺中市西區博館路166號,24.1578766 120.663686
0039,國立臺中教育大學,公立,[19]臺中市,[403]臺中市西區民生路140號,24.1421547 120.672099
