代碼,學校名稱,公/私立,縣市名稱,地址,location
064712,市立霧峰國小,公立,[06]臺中市,[413]臺中市霧峰區中正路736號,24.0594348 120.6980481
064713,市立僑榮國小,公立,[06]臺中市,[413]臺中市霧峰區甲寅里民生路156號,24.0701972 120.7028117
064714,市立四德國小,公立,[06]臺中市,[413]臺中市霧峰區四德路504號,24.0608052 120.6677177
064715,市立五福國小,公立,[06]臺中市,[413]臺中市霧峰區五福里新埔路239號,24.0779356 120.6702278
064716,市立萬豐國小,公立,[06]臺中市,[413]臺中市霧峰區萬豐里中正路224號,24.0278443 120.6970097
064717,市立峰谷國小,公立,[06]臺中市,[413]臺中市霧峰區峰谷里峰谷路496號,24.0355504 120.7243858
064718,市立桐林國小,公立,[06]臺中市,[413]臺中市霧峰區民生路675號,24.065953 120.7355255
064719,市立復興國小,公立,[06]臺中市,[413]臺中市霧峰區坑口里信義路50號,24.0426953 120.6971973
064720,市立霧峰區光正國小,公立,[06]臺中市,[413]臺中市霧峰區豐正路566號,24.0362446 120.6683386
064749,市立吉峰國小,公立,[06]臺中市,[413]臺中市霧峰區吉峰里民生路349號,24.0785896 120.7183212
064763,市立光復國(中)小,公立,[06]臺中市,[413]臺中市霧峰區柳豐路535號,24.0432256 120.6895598
064522,市立霧峰國中,公立,[06]臺中市,[413]臺中市霧峰區國中路110號,24.0673817 120.6888231
064523,市立光復國中(小),公立,[06]臺中市,[413]臺中市霧峰區南柳里柳豐路535號,24.0430055 120.6895412
060408,國立霧峰農工,公立,[06]臺中市,[413]臺中市霧峰區中正路1222號,24.0736652 120.7000092
061306,私立明台高中,私立,[06]臺中市,[413]臺中市霧峰區萊園路91號,24.0619723 120.7030111
1018,朝陽科技大學,私立,[06]臺中市,[413]臺中市霧峰區吉峰東路168號,24.0728212 120.7154143
1048,亞洲大學,私立,[06]臺中市,[413]臺中市霧峰區柳豐路500號,24.043676 120.6885757
