代碼,學校名稱,公/私立,縣市名稱,地址,location
193627,市立南屯國小,公立,[19]臺中市,[408]臺中市南屯區黎明路一段968號,24.1367871 120.6372844
193628,市立鎮平國小,公立,[19]臺中市,[408]臺中市南屯區黎明路一段425號,24.1217055 120.6292213
193629,市立文山國小,公立,[19]臺中市,[408]臺中市南屯區忠勇路97號,24.1493359 120.6153954
193630,市立春安國小,公立,[19]臺中市,[408]臺中市南屯區春安路109號,24.134804 120.608314
193631,市立黎明國小,公立,[19]臺中市,[408]臺中市南屯區黎明路二段555號,24.1577223 120.633997
193646,市立南屯區東興國小,公立,[19]臺中市,[408]臺中市南屯區大隆路71號,24.1560468 120.6530707
193652,市立大新國小,公立,[19]臺中市,[408]臺中市南屯區文心路一段280號,24.1460168 120.646957
193655,市立永春國小,公立,[19]臺中市,[408]臺中市南屯區永春東路288號,24.1349272 120.647639
193656,市立惠文國小,公立,[19]臺中市,[408]臺中市南屯區公益路二段300號,24.1516558 120.6382574
193663,市立大墩國小,公立,[19]臺中市,[408]臺中市南屯區向上路二段201號,24.1467848 120.6394581
193508,市立黎明國中,公立,[19]臺中市,[408]臺中市南屯區三義里一鄰干城街88號,24.1556043 120.6315431
193522,市立萬和國中,公立,[19]臺中市,[408]臺中市南屯區永春東路885號,24.1346935 120.6406324
193523,市立大業國中,公立,[19]臺中市,[408]臺中市南屯區大業路100號,24.1537463 120.652457
193527,市立大墩國中,公立,[19]臺中市,[408]臺中市南屯區惠中路三段98號,24.1449417 120.6404242
191314,私立嶺東高中附設國中,私立,[19]臺中市,[408]臺中市南屯區春社里嶺東路2號,24.1380959 120.6102807
193316,市立惠文高中附設國中,公立,[19]臺中市,[408]臺中市南屯區公益路二段298號,24.1515401 120.6399782
191314,私立嶺東高中,私立,[19]臺中市,[408]臺中市南屯區春社里嶺東路2號,24.1380959 120.6102807
193316,市立惠文高中,公立,[19]臺中市,[408]臺中市南屯區公益路二段298號,24.1515401 120.6399782
1045,嶺東科技大學,私立,[19]臺中市,[408]臺中市南屯區嶺東路1號,24.1378074 120.6096728
1A17,嶺東科技大學附進修專校,私立,[19]臺中市,[408]臺中市南屯區嶺東路一號,24.1378074 120.6096728
1A40,嶺東科技大學附進修學院,私立,[19]臺中市,[408]臺中市南屯區嶺東路一號,24.1378074 120.6096728
190F02,國立臺中特殊教育學校,公立,[19]臺中市,[408]臺中市南屯區公益路二段296號,24.1513744 120.6410651
