代碼,學校名稱,公/私立,縣市名稱,地址,location
064635,市立東勢國小,公立,[06]臺中市,[423]臺中市東勢區廣興里第五橫街1號,24.2585133 120.8307672
064636,市立中山國小,公立,[06]臺中市,[423]臺中市東勢區泰昌里中泰街88號,24.2529395 120.8351134
064637,市立石城國小,公立,[06]臺中市,[423]臺中市東勢區茂興里石城街182巷26號,24.2859601 120.7920859
064638,市立東勢區成功國小,公立,[06]臺中市,[423]臺中市東勢區慶東里東關路298號,24.2078602 120.8396239
064639,市立石角國小,公立,[06]臺中市,[423]臺中市東勢區東坑路西盛巷22號,24.2378112 120.8507077
064640,市立中科國小,公立,[06]臺中市,[423]臺中市東勢區東崎路4段92巷16號,24.2520849 120.8424487
064641,市立新成國小,公立,[06]臺中市,[423]臺中市東勢區上城街260號,24.2163305 120.838262
064642,市立明正國小,公立,[06]臺中市,[423]臺中市東勢區明正里東蘭路永盛巷57-1號,24.3096301 120.7908289
064747,市立新盛國小,公立,[06]臺中市,[423]臺中市東勢區新盛里新盛街342號,24.2435149 120.8318331
064762,市立東新國小,公立,[06]臺中市,[423]臺中市東勢區東蘭路1之1號,24.2607993 120.8272567
064529,市立東勢國中,公立,[06]臺中市,[423]臺中市東勢區東崎路五段415號,24.2512706 120.8323538
064530,市立東華國中,公立,[06]臺中市,[423]臺中市東勢區東關路296號,24.2052811 120.8395901
064531,市立東新國中,公立,[06]臺中市,[423]臺中市東勢區東新里5鄰東環街123號,24.2631845 120.8297634
060404,國立東勢高工,公立,[06]臺中市,[423]臺中市東勢區東關路6段1328號,24.2423422 120.8343503
061319,私立玉山高中,私立,[06]臺中市,[423]臺中市東勢區東崎路四段399號,24.2558619 120.850957
