代碼,學校名稱,公/私立,縣市名稱,地址,location
193613,市立南區和平國小,公立,[19]臺中市,[402]臺中市南區復興路二段57號,24.1203129 120.660113
193614,市立國光國小,公立,[19]臺中市,[402]臺中市南區國光路261號,24.1255308 120.679866
193615,市立信義國小,公立,[19]臺中市,[402]臺中市南區五權南路325號,24.1216138 120.6697485
193657,市立樹義國小,公立,[19]臺中市,[402]臺中市南區福田路11號,24.1113481 120.6576498
193504,市立崇倫國中,公立,[19]臺中市,[402]臺中市南區忠明南路653號,24.1319234 120.6575245
193512,市立四育國中,公立,[19]臺中市,[402]臺中市南區復興路二段152號,24.125529 120.6646223
191308,私立宜寧高中附設國中,私立,[19]臺中市,[402]臺中市南區復興路二段45號,24.1189766 120.6591896
191309,私立明德高中附設國中,私立,[19]臺中市,[402]臺中市南區明德街84號,24.1204043 120.6839805
190407,國立臺中高工,公立,[19]臺中市,[402]臺中市南區高工路191號,24.1134199 120.6613413
191308,私立宜寧高中,私立,[19]臺中市,[402]臺中市南區復興路二段45號,24.1189766 120.6591896
191309,私立明德高中,私立,[19]臺中市,[402]臺中市南區明德街84號,24.1204043 120.6839805
0006,國立中興大學,公立,[19]臺中市,[402]臺中市南區興大路145號,24.124167 120.6774162
1029,中山醫學大學,私立,[19]臺中市,[402]臺中市南區建國北路一段110號,24.1217915 120.6517604
