代碼,學校名稱,公/私立,縣市名稱,地址,location
191606,私立麗喆國(中)小,私立,[19]臺中市,[407]臺中市西屯區國安二路242巷199號,24.1947933 120.6138543
193621,市立西屯國小,公立,[19]臺中市,[407]臺中市西屯區西屯路二段300號,24.1792355 120.6404629
193622,市立西屯區泰安國小,公立,[19]臺中市,[407]臺中市西屯區環中路二段368號,24.1939352 120.6439446
193623,市立大鵬國小,公立,[19]臺中市,[407]臺中市西屯區中平路268號,24.176992 120.6648233
193624,市立西屯區永安國小,公立,[19]臺中市,[407]臺中市西屯區西屯路三段133號,24.1848454 120.6250818
193625,市立協和國小,公立,[19]臺中市,[407]臺中市西屯區協和里安和路99號,24.1702562 120.6199018
193626,市立大仁國小,公立,[19]臺中市,[407]臺中市西屯區重慶路200號,24.1675502 120.6580611
193645,市立重慶國小,公立,[19]臺中市,[407]臺中市西屯區重慶路358號,24.170732 120.6639614
193649,市立何厝國小,公立,[19]臺中市,[407]臺中市西屯區重慶路1號,24.1633266 120.6543234
193650,市立國安國小,公立,[19]臺中市,[407]臺中市西屯區國祥街1號,24.1935782 120.6090812
193651,市立上石國小,公立,[19]臺中市,[407]臺中市西屯區西屯路二段上石南6巷25號,24.173666 120.643417
193659,市立上安國小,公立,[19]臺中市,[407]臺中市西屯區上安路156號,24.1720157 120.6391851
193661,市立長安國小,公立,[19]臺中市,[407]臺中市西屯區櫻花路18號,24.1691048 120.6530785
193662,市立惠來國小,公立,[19]臺中市,[407]臺中市西屯區文中路168號,24.1645965 120.6491903
193664,市立東海國小,公立,[19]臺中市,[407]臺中市西屯區國際街75號,24.1854575 120.5945132
191503,私立麗喆國中(小),私立,[19]臺中市,[407]臺中市西屯區國安二路242巷199號,24.1947933 120.6138543
193516,市立中山國中,公立,[19]臺中市,[407]臺中市西屯區寧夏路179號,24.1684446 120.660187
193519,市立漢口國中,公立,[19]臺中市,[407]臺中市西屯區漢口路一段54之1號,24.1617604 120.6570334
193520,市立安和國中,公立,[19]臺中市,[407]臺中市西屯區天助街1號,24.17401 120.6168037
193521,市立至善國中,公立,[19]臺中市,[407]臺中市西屯區青海路二段308號,24.1743345 120.6401936
193526,市立福科國中,公立,[19]臺中市,[407]臺中市西屯區福林路333號,24.1886941 120.6150045
191301,私立東大附中附設國小,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,24.1824159 120.602728
191302,私立葳格高中附設國小,私立,[19]臺中市,[407]台中市西屯區長安路一段35號,24.170437 120.6541535
191301,私立東大附中附設國中,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,24.1824159 120.602728
193313,市立西苑高中附設國中,公立,[19]臺中市,[407]臺中市西屯區西苑路268號,24.1864785 120.6415518
190315,國立文華高中,公立,[19]臺中市,[407]臺中市西屯區寧夏路240號,24.1701508 120.6597375
191301,私立東大附中,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,24.1824159 120.602728
193313,市立西苑高中,公立,[19]臺中市,[407]臺中市西屯區西苑路268號,24.1864785 120.6415518
1001,東海大學,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,24.1824159 120.602728
1007,逢甲大學,私立,[19]臺中市,[407]臺中市西屯區文華路100號,24.178693 120.64674
1062,僑光科技大學,私立,[19]臺中市,[407]臺中市西屯區僑光路100號,24.1894633 120.6440635
190F01,國立臺中啟聰學校,公立,[19]臺中市,[407]臺中市西屯區協和里安和路1號,24.1606793 120.6171796
