代碼,學校名稱,公/私立,縣市名稱,地址,location
064721,市立太平區太平國小,公立,[06]臺中市,[411]臺中市太平區中平里中興路35號,24.1282627 120.7175221
064722,市立宜欣國小,公立,[06]臺中市,[411]臺中市太平區新平路二段100號,24.1395639 120.7150638
064723,市立新光國小,公立,[06]臺中市,[411]臺中市太平區新興里新興路200號,24.1593898 120.7063055
064724,市立坪林國小,公立,[06]臺中市,[411]臺中市太平區坪林里坪林路45號,24.1451345 120.7372977
064725,市立光隆國小,公立,[06]臺中市,[411]臺中市太平區光隆里光興路487巷5號,24.1288559 120.736023
064726,市立黃竹國小,公立,[06]臺中市,[411]臺中市太平區黃竹里竹村路41號,24.0837471 120.7524711
064727,市立頭汴國小,公立,[06]臺中市,[411]臺中市太平區頭汴里北田路20號,24.1232162 120.7514631
064728,市立東汴國小,公立,[06]臺中市,[411]臺中市太平區東汴里山田路100號,24.1177162 120.7958108
064740,市立建平國小,公立,[06]臺中市,[411]臺中市太平區精美路201號,24.1241551 120.7246908
064742,市立太平區中華國小,公立,[06]臺中市,[411]臺中市太平區大源路1-20號,24.141621 120.729037
064745,市立東平國小,公立,[06]臺中市,[411]臺中市太平區中興東路213號,24.1323535 120.7235517
064750,市立新平國小,公立,[06]臺中市,[411]臺中市太平區樹孝路336巷9號,24.154775 120.719806
064758,市立車籠埔國小,公立,[06]臺中市,[411]臺中市太平區光明路10-2 號,24.1099496 120.7319265
064764,市立長億國小,公立,[06]臺中市,[411]臺中市太平區太平三街295號,24.113422 120.715536
064525,市立太平國中,公立,[06]臺中市,[411]臺中市太平區中山路二段116號,24.1470785 120.7025178
064526,市立中平國中,公立,[06]臺中市,[411]臺中市太平區中平里太平路300號,24.1229708 120.718135
064543,市立新光國中,公立,[06]臺中市,[411]臺中市太平區樹德九街 139 號,24.157281 120.709215
064336,市立長億高中附設國中,公立,[06]臺中市,[411]臺中市太平區長億里長億六街1號,24.1138805 120.7210106
061321,私立慈明高中,私立,[06]臺中市,[411]臺中市太平區光德路388號,24.1052061 120.7272563
064336,市立長億高中,公立,[06]臺中市,[411]臺中市太平區長億里長億六街1號,24.1138805 120.7210106
191412,財團法人光華高工,私立,[19]臺中市,[411]臺中市太平區東平路18號,24.133943 120.718706
0043,國立勤益科技大學,公立,[06]臺中市,[411]臺中市太平區坪林里中山路二段57號,24.1465581 120.7333578
0A11,國立勤益科技大學附進修專校,公立,[06]臺中市,[411]臺中市太平區中山路二段57號,24.1469149 120.7025284
0A15,國立勤益科技大學附進修學院,公立,[06]臺中市,[411]臺中市太平區中山路二段57號,24.1469149 120.7025284
061315,私立華盛頓高中附設國中,公立,[06]臺中市,[411]臺中市太平區廍仔坑路26號,24.158382 120.744952
061315,私立華盛頓高中,私立,[06]臺中市,[411]臺中市太平區廍仔坑路26號,24.158382 120.744952
