代碼,學校名稱,公/私立,縣市名稱,地址,location
193602,市立臺中國小,公立,[19]臺中市,[401]臺中市東區台中路153號,24.1315004 120.6846391
193603,市立大智國小,公立,[19]臺中市,[401]臺中市東區大智路359號,24.1289094 120.6905318
193604,市立東區成功國小,公立,[19]臺中市,[401]臺中市東區旱溪西路一段300號,24.1371661 120.6997102
193605,市立進德國小,公立,[19]臺中市,[401]臺中市東區進化路135號,24.1452521 120.6941979
193606,市立力行國小,公立,[19]臺中市,[401]臺中市東區進化路223號,24.1508576 120.6941376
193607,市立樂業國小,公立,[19]臺中市,[401]臺中市東區樂業路60號,24.1378791 120.6949246
193507,市立東峰國中,公立,[19]臺中市,[401]臺中市東區仁和路330號,24.126207 120.6858308
193511,市立育英國中,公立,[19]臺中市,[401]臺中市東區育英路30號,24.1358626 120.6982685
190404,國立臺中家商,公立,[19]臺中市,[401]臺中市東區和平街50號,24.1335235 120.6845855
190406,國立興大附農,公立,[19]臺中市,[401]臺中市東區台中路283號,24.1287304 120.6851737
