代碼,學校名稱,公/私立,縣市名稱,地址,location
191604,私立慎齋小學,私立,[19]臺中市,[406]臺中市北屯區山西路二段270號,24.1758599 120.6767035
191605,私立明道普霖斯頓小學,私立,[19]臺中市,[406]臺中市北屯區河北路三段16號,24.1771753 120.6838645
193632,市立北屯國小,公立,[19]臺中市,[406]臺中市北屯區進化北路2號,24.1630266 120.6917194
193633,市立僑孝國小,公立,[19]臺中市,[406]臺中市北屯區北屯路435號,24.1775592 120.699778
193634,市立四張犁國小,公立,[19]臺中市,[406]臺中市北屯區后庄路910號(四張犁),24.193147 120.678023
193635,市立松竹國小,公立,[19]臺中市,[406]臺中市北屯區昌平路二段12號,24.1809371 120.6899332
193636,市立軍功國小,公立,[19]臺中市,[406]臺中市北屯區和平里軍福十三路300號,24.1727967 120.719513
193637,市立北屯區大坑國小,公立,[19]臺中市,[406]臺中市北屯區東山路二段112號,24.1963669 120.7478171
193638,市立逢甲國小,公立,[19]臺中市,[406]臺中市北屯區北坑巷60號,24.168473 120.758949
193639,市立建功國小,公立,[19]臺中市,[406]臺中市北屯區軍和街43號,24.1757955 120.7161303
193640,市立北屯區新興國小,公立,[19]臺中市,[406]臺中市北屯區新興路20號,24.1943803 120.6623661
193641,市立仁愛國小,公立,[19]臺中市,[406]臺中市北屯區四平路71號,24.1802836 120.6718033
193643,市立北屯區文昌國小,公立,[19]臺中市,[406]臺中市北屯區昌平路一段91號,24.1693653 120.6918425
193647,市立文心國小,公立,[19]臺中市,[406]臺中市北屯區文心路四段575號,24.1730188 120.6828275
193648,市立四維國小,公立,[19]臺中市,[406]臺中市北屯區文心路四段956號,24.1708359 120.6952561
193653,市立陳平國小,公立,[19]臺中市,[406]臺中市北屯區陳平路58號,24.1852051 120.6676042
193658,市立東光國小,公立,[19]臺中市,[406]臺中市北屯區東光路926號,24.171603 120.7013501
193660,市立仁美國小,公立,[19]臺中市,[406]臺中市北屯區崇德路三段568號,24.1918534 120.686606
193505,市立大德國中,公立,[19]臺中市,[406]臺中市北屯區雷中街2之23號,24.181288 120.669808
193506,市立北新國中,公立,[19]臺中市,[406]臺中市北屯區柳楊東街180號,24.1789287 120.6961457
193517,市立崇德國中,公立,[19]臺中市,[406]臺中市北屯區崇德路二段227號,24.1752563 120.6854584
193524,市立三光國中,公立,[19]臺中市,[406]臺中市北屯區三光一街77號,24.1673539 120.6984045
193525,市立四張犁國中,公立,[19]臺中市,[406]臺中市北屯區同榮里后庄路699號,24.1935575 120.6771674
191302,私立葳格高中附設國中,私立,[19]臺中市,[406]臺中市北屯區軍福十八路328號,24.178752 120.7116059
191311,私立衛道高中附設國中,私立,[19]臺中市,[406]臺中市北屯區四平路161號,24.1830032 120.6750442
193315,市立東山高中附設國中,公立,[19]臺中市,[406]臺中市北屯區景賢六路200號,24.1662931 120.7121388
191302,私立葳格高中,私立,[19]臺中市,[406]臺中市北屯區軍福十八路328號,24.178752 120.7116059
191311,私立衛道高中,私立,[19]臺中市,[406]臺中市北屯區四平路161號,24.1830032 120.6750442
193315,市立東山高中,公立,[19]臺中市,[406]臺中市北屯區景賢六路200號,24.1662931 120.7121388
1047,中臺科技大學,私立,[19]臺中市,[406]臺中市北屯區廍子路666號,24.1725268 120.736065
1A80,中臺科技大學附進修學院,私立,[19]臺中市,[406]臺中市北屯區大坑廓子里一一號,24.177946 120.738561
