代碼,學校名稱,公/私立,縣市名稱,地址,location
064675,市立沙鹿國小,公立,[06]臺中市,[433]臺中市沙鹿區美仁里中正街3號,24.2358016 120.5615708
064676,市立文光國小,公立,[06]臺中市,[433]臺中市沙鹿區斗潭路文光巷12號,24.2263396 120.5562021
064677,市立竹林國小,公立,[06]臺中市,[433]臺中市沙鹿區臺灣大道7段821號,24.238207 120.56722
064678,市立北勢國小,公立,[06]臺中市,[433]臺中市沙鹿區六路里南陽路376號,24.2169352 120.571552
064679,市立公明國小,公立,[06]臺中市,[433]臺中市沙鹿區公明里忠貞路213號,24.2431583 120.6097128
064680,市立公館國小,公立,[06]臺中市,[433]臺中市沙鹿區西勢里中航路2段1號,24.26364 120.5888676
064681,市立鹿峰國小,公立,[06]臺中市,[433]臺中市沙鹿區鹿峰里星河路209號,24.255608 120.570016
064515,市立沙鹿國中,公立,[06]臺中市,[433]臺中市沙鹿區中正街1號,24.2352085 120.5633508
064534,市立北勢國中,公立,[06]臺中市,[433]臺中市沙鹿區英才路150號,24.2251755 120.5692086
064535,市立鹿寮國中,公立,[06]臺中市,[433]臺中市沙鹿區光華路385號,24.2438043 120.5667502
064549,市立公明國中,公立,[06]臺中市,[433]臺中市沙鹿區公明里中清路6段567號,24.2494113 120.6015376
060407,國立沙鹿高工,公立,[06]臺中市,[433]臺中市沙鹿區台灣大道七段823號,24.238523 120.5678621
1008,靜宜大學,私立,[06]臺中市,[433]臺中市沙鹿區臺灣大道7段200號,24.2263848 120.5797081
1034,弘光科技大學,私立,[06]臺中市,[433]臺中市沙鹿區臺灣大道六段1018號,24.2173159 120.5808091
