代碼,學校名稱,公/私立,縣市名稱,地址,location
064609,市立內埔國小,公立,[06]臺中市,[421]臺中市后里區文化路30號,24.3070668 120.714965
064610,市立后里國小,公立,[06]臺中市,[421]臺中市后里區義里里甲后路一段168號,24.3093334 120.7272921
064611,市立月眉國小,公立,[06]臺中市,[421]臺中市后里區眉山里甲后路二段588號,24.3143039 120.6907612
064612,市立七星國小,公立,[06]臺中市,[421]臺中市后里區墩南里南村路389號,24.3032121 120.7126343
064613,市立育英國小,公立,[06]臺中市,[421]臺中市后里區太平里四月路23號,24.3091883 120.6712303
064614,市立后里區泰安國小,公立,[06]臺中市,[421]臺中市后里區泰安里安眉路5號,24.3251326 120.7496013
064507,市立后里國中,公立,[06]臺中市,[421]臺中市后里區眉山里第三鄰中眉路169號,24.3075799 120.695216
064308,市立后綜高中附設國中,公立,[06]臺中市,[421]臺中市后里區廣福里三豐路80號,24.3062172 120.7218368
064308,市立后綜高中,公立,[06]臺中市,[421]臺中市后里區廣福里三豐路80號,24.3062172 120.7218368
060F01,國立臺中啟明學校,公立,[06]臺中市,[421]臺中市后里區三豐路三段936號,24.3088705 120.7222883
