代碼,學校名稱,公/私立,縣市名稱,地址,location
064665,市立大甲國小,公立,[06]臺中市,[437]臺中市大甲區文武里育德路233號,24.3508271 120.6263633
064666,市立德化國小,公立,[06]臺中市,[437]臺中市大甲區和平路290號,24.3621955 120.6246009
064667,市立大甲區文昌國小,公立,[06]臺中市,[437]臺中市大甲區育德路113號,24.3479608 120.6243734
064668,市立順天國小,公立,[06]臺中市,[437]臺中市大甲區經國路168號,24.344242 120.618208
064669,市立文武國小,公立,[06]臺中市,[437]臺中市大甲區武陵里文曲路61號,24.3359958 120.6007773
064670,市立日南國小,公立,[06]臺中市,[437]臺中市大甲區中山路二段568號,24.3896612 120.654253
064671,市立東明國小,公立,[06]臺中市,[437]臺中市大甲區幸福里東明路93號,24.3747765 120.6805324
064672,市立華龍國小,公立,[06]臺中市,[437]臺中市大甲區日南里工二路1號,24.4058611 120.6480341
064673,市立西岐國小,公立,[06]臺中市,[437]臺中市大甲區西岐里順帆路96號,24.4202664 120.6284838
064674,市立東陽國小,公立,[06]臺中市,[437]臺中市大甲區甲東路520號,24.341066 120.6292
064510,市立大甲國中,公立,[06]臺中市,[437]臺中市大甲區育英路186號,24.353289 120.6224064
064511,市立日南國中,公立,[06]臺中市,[437]臺中市大甲區中山路二段69-11號,24.3779599 120.6523384
064539,市立順天國中,公立,[06]臺中市,[437]臺中市大甲區大安港路67號,24.350426 120.6153585
060303,國立大甲高中,公立,[06]臺中市,[437]臺中市大甲區中山路一段720號,24.3420421 120.6217173
060402,國立大甲高工,公立,[06]臺中市,[437]臺中市大甲區頂店里開元路71號,24.3466762 120.6400823
061309,私立致用高中,私立,[06]臺中市,[437]臺中市大甲區甲東路512號,24.3405229 120.6287622
