代碼,學校名稱,公/私立,縣市名稱,地址,location
064686,市立龍山國小,公立,[06]臺中市,[434]臺中市龍井區中山一路一段6號,24.213445 120.5506255
064687,市立龍井國小,公立,[06]臺中市,[434]臺中市龍井區龍西里龍門路51號,24.1835 120.529482
064688,市立龍津國小,公立,[06]臺中市,[434]臺中市龍井區龍津里中央路一段165巷50號,24.2008125 120.5218474
064689,市立龍海國小,公立,[06]臺中市,[434]臺中市龍井區忠和里中央路3段206號,24.2157482 120.5262932
064690,市立龍港國小,公立,[06]臺中市,[434]臺中市龍井區麗水里三港路1號,24.1984574 120.5012605
064691,市立龍泉國小,公立,[06]臺中市,[434]臺中市龍井區龍泉里龍新路162號,24.1964241 120.5475812
064692,市立龍峰國小,公立,[06]臺中市,[434]臺中市龍井區新庄里中沙路2號,24.1795403 120.5760326
064517,市立龍井國中,公立,[06]臺中市,[434]臺中市龍井區觀光路9號,24.1922742 120.5440933
064518,市立四箴國中,公立,[06]臺中市,[434]臺中市龍井區中沙路2號,24.1795403 120.5760326
064550,市立龍津國中,公立,[06]臺中市,[434]臺中市龍井區三港路130號,24.2043433 120.5224229
064350,市立龍津高中,公立,[06]臺中市,[434]臺中市龍井區三港路130號,24.2043433 120.5224229
