代碼,學校名稱,公/私立,縣市名稱,地址,location
064705,市立大里國小,公立,[06]臺中市,[412]臺中市大里區新興路50號,24.1005474 120.6770178
064706,市立內新國小,公立,[06]臺中市,[412]臺中市大里區東昇里日新路8號,24.1117491 120.694878
064707,市立崇光國小,公立,[06]臺中市,[412]臺中市大里區大明路181號,24.1151411 120.6845633
064708,市立塗城國小,公立,[06]臺中市,[412]臺中市大里區仁德里文化街120號,24.093045 120.7002823
064709,市立瑞城國小,公立,[06]臺中市,[412]臺中市大里區瑞城里美村街196號,24.0860899 120.7028425
064710,市立健民國小,公立,[06]臺中市,[412]臺中市大里區健民里校前路26號,24.0894118 120.7278994
064711,市立草湖國小,公立,[06]臺中市,[412]臺中市大里區西湖里西湖路32號,24.0782481 120.6899973
064738,市立益民國小,公立,[06]臺中市,[412]臺中市大里區益民路二段48號,24.106767 120.6872862
064748,市立大元國小,公立,[06]臺中市,[412]臺中市大里區現岱路60號,24.102755 120.6910628
064752,市立永隆國小,公立,[06]臺中市,[412]臺中市大里區永隆五街2號,24.1110095 120.6777128
064753,市立美群國小,公立,[06]臺中市,[412]臺中市大里區美群路99號,24.0841635 120.7088252
064756,市立立新國小,公立,[06]臺中市,[412]臺中市大里區立仁里立新街338號,24.10543 120.6995666
064532,市立成功國中,公立,[06]臺中市,[412]臺中市大里區至善路157號,24.0940491 120.6992731
064537,市立光榮國中,公立,[06]臺中市,[412]臺中市大里區東榮路280號,24.1104788 120.6869085
064544,市立光正國中,公立,[06]臺中市,[412]臺中市大里區鳳凰路68號,24.0961781 120.7180626
064547,市立立新國中,公立,[06]臺中市,[412]臺中市大里區甲堤路236號,24.1043651 120.6969226
064548,市立爽文國中,公立,[06]臺中市,[412]臺中市大里區永隆三街1號,24.1078825 120.6771654
061310,私立大明高中附設國中,公立,[06]臺中市,[412]臺中市大里區新仁路三段210號,24.1164906 120.6859755
061314,私立僑泰高中附設國中,公立,[06]臺中市,[412]臺中市大里區樹王路342號,24.1117897 120.6669624
061318,私立立人高中附設國中,公立,[06]臺中市,[412]臺中市大里區中興路二段380號,24.1056964 120.6908449
064324,市立大里高中附設國中,公立,[06]臺中市,[412]臺中市大里區國中路365號,24.0951235 120.6789632
060322,國立興大附中,公立,[06]臺中市,[412]臺中市大里區東榮路369號,24.1093932 120.6827138
061310,私立大明高中,私立,[06]臺中市,[412]臺中市大里區新仁路三段210號,24.1164906 120.6859755
061314,私立僑泰高中,私立,[06]臺中市,[412]臺中市大里區樹王路342號,24.1117897 120.6669624
061316,私立青年高中,私立,[06]臺中市,[412]臺中市大里區中湖路100號,24.0869578 120.6934591
061318,私立立人高中,私立,[06]臺中市,[412]臺中市大里區中興路二段380號,24.1056964 120.6908449
064324,市立大里高中,公立,[06]臺中市,[412]臺中市大里區國中路365號,24.0951235 120.6789632
1069,修平科技大學,私立,[06]臺中市,[412]臺中市大里區工業路11號,24.0953128 120.7137649
1A16,修平科技大學附進修專校,私立,[06]臺中市,[412]臺中市大里區工業路11號,24.0953128 120.7137649
1A57,修平科技大學附進修學院,私立,[06]臺中市,[412]臺中市大里區工業路11號,24.0953128 120.7137649
